City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Saldanha,ZA,-33.0117,17.9442,58.8,82,0,7.63,clear sky
116,Esperance,AU,-33.8667,121.9,59.29,67,1,7.0,clear sky
117,Saint-Louis,SN,16.3333,-15.0,81.32,24,10,11.81,clear sky
118,Jacqueville,CI,5.2052,-4.4146,82.13,83,46,10.92,scattered clouds
119,Manicore,BR,-5.8092,-61.3003,74.93,97,66,0.72,broken clouds
120,Jamestown,US,42.097,-79.2353,56.95,93,100,10.36,overcast clouds
121,Poum,NC,-20.2333,164.0167,78.53,77,10,3.51,clear sky
122,Albany,US,42.6001,-73.9662,66.61,62,100,3.42,overcast clouds
123,Georgetown,MY,5.4112,100.3354,76.93,88,40,5.75,scattered clouds
124,Cidreira,BR,-30.1811,-50.2056,64.99,72,100,7.67,overcast clouds
125,Bandarbeyla,SO,9.4942,50.8122,83.08,80,39,9.55,scattered clouds
126,Guatire,VE,10.4762,-66.5427,75.06,79,14,3.74,few clouds
127,Aklavik,CA,68.2191,-135.0107,39.25,83,61,14.81,broken clouds
128,Victoria Point,AU,-27.5833,153.3,74.68,74,78,7.0,broken clouds
129,Yerbogachen,RU,61.2767,108.0108,25.61,69,8,3.58,clear sky
130,Clyde River,CA,70.4692,-68.5914,10.63,85,100,14.97,light snow
131,Cozumel,MX,20.5083,-86.9458,83.95,77,22,10.0,few clouds
132,Camara De Lobos,PT,32.6333,-16.9667,65.71,81,20,11.5,few clouds
133,Grindavik,IS,63.8424,-22.4338,39.67,81,0,5.75,clear sky
134,Lagoa,PT,39.05,-27.9833,61.3,81,9,2.68,clear sky
135,San Cristobal,VE,7.7669,-72.225,70.02,87,69,3.89,broken clouds
136,Guanare,VE,9.0418,-69.7421,77.14,82,99,3.22,overcast clouds
137,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,91,35,3.0,scattered clouds
138,Kahului,US,20.8947,-156.47,74.84,90,75,10.0,broken clouds
139,Bluff,NZ,-46.6,168.3333,57.79,82,25,12.66,scattered clouds
140,Puerto Ayora,EC,-0.7393,-90.3518,74.48,82,56,6.44,broken clouds
141,Diu,IN,20.7141,70.9822,81.21,90,0,12.57,clear sky
142,Ialibu,PG,-6.2821,143.9935,64.44,82,68,1.9,broken clouds
143,Ballina,AU,-28.8667,153.5667,68.02,92,45,10.58,scattered clouds
144,Marshalltown,US,42.0494,-92.908,50.38,76,100,17.27,overcast clouds
145,Malpe,IN,13.35,74.7167,81.7,76,98,1.9,overcast clouds
146,Porto Walter,BR,-8.2686,-72.7439,78.21,80,86,1.19,overcast clouds
147,Kibre Mengist,ET,5.8833,38.9833,57.96,98,100,2.42,overcast clouds
148,Marsabit,KE,2.3284,37.9899,63.73,90,99,10.09,light rain
149,Turukhansk,RU,65.8167,87.9833,22.17,92,64,10.74,broken clouds
150,Caborca,MX,30.5838,-111.101,87.39,11,0,20.65,clear sky
151,Saint-Philippe,RE,-21.3585,55.7679,73.22,85,3,3.4,clear sky
152,Matadi,CD,-5.8167,13.45,78.13,94,100,1.72,overcast clouds
153,Shimoda,JP,34.6667,138.95,59.11,77,100,9.64,overcast clouds
154,Sosnovoborsk,RU,56.1325,93.3589,45.82,88,100,13.24,overcast clouds
155,Faanui,PF,-16.4833,-151.75,81.21,72,17,9.37,few clouds
156,San Juan,AR,-31.5375,-68.5364,61.25,44,1,8.97,clear sky
157,Ust-Nera,RU,64.5667,143.2,34.43,86,50,3.44,scattered clouds
158,Filadelfia,US,39.9523,-75.1638,61.48,72,100,3.0,overcast clouds
159,Padang,ID,-0.9492,100.3543,75.25,87,100,3.85,moderate rain
160,Thinadhoo,MV,0.5333,72.9333,85.03,74,94,17.49,overcast clouds
161,Abu Samrah,SY,35.3029,37.1841,59.0,79,0,9.57,clear sky
162,Iaciara,BR,-14.0958,-46.6317,73.87,47,26,2.75,scattered clouds
163,Laguna,US,38.421,-121.4238,84.49,19,0,14.97,clear sky
164,Barcelos,PT,41.5388,-8.6151,57.34,94,3,4.36,clear sky
165,Ponorogo,ID,-7.8685,111.462,75.99,92,79,1.99,broken clouds
166,Komarikhinskiy,RU,58.0979,57.1163,28.09,83,9,4.29,clear sky
167,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,52,20,15.66,few clouds
168,Jalu,LY,29.0331,21.5482,90.81,18,99,23.17,overcast clouds
169,Talnakh,RU,69.4865,88.3972,20.21,96,100,6.04,light snow
170,Kawalu,ID,-7.3817,108.2082,72.18,96,79,2.06,broken clouds
171,Evansville,US,37.9748,-87.5558,66.6,61,0,11.61,clear sky
172,Northam,GB,51.0333,-4.2167,49.6,96,100,1.41,overcast clouds
173,Iqaluit,CA,63.7506,-68.5145,27.7,79,100,5.01,overcast clouds
174,Nantucket,US,41.2835,-70.0995,54.01,76,0,7.87,clear sky
